RK,PLAYER,GP,MPG,AST,TO,USG,ORR,DRR,REBR,PER
1,"Doug McDermott, CREI",33,33.6,6.6,7.7,27.8,5.7,18.5,12.1,33.68
2,"Alan Williams, UCSB",26,31.7,5.4,10.2,27.1,13.2,28.4,20.8,33.37
3,"De'Mon Brooks, DAV",26,26.8,7.8,12.9,24.2,10.4,22.6,16.5,32.13
4,"T.J. Warren, NCST",33,35.3,4.5,9.6,28,10.9,13.1,12,32.06
5,"Javonte Green, RAD",30,26.1,6.1,10.8,23,9.7,27.7,18.7,30.61
6,"John Brown, HP",28,32.5,9.8,8.1,22.5,13.1,17.5,15.3,30.56
7,"Javon McCrea, BUFF",28,32.6,11.3,12.2,22.2,12.4,19.8,16.1,30.3
8,"Frank Kaminsky, WIS",33,26.5,9.8,7.8,19.4,9.1,20,14.5,29.73
9,"Cameron Bairstow, UNM",33,32.7,8.1,10.1,23.3,7.3,16.7,12,29.68
10,"Jabari Parker, DUKE",34,30.7,5.9,11.1,25.9,11.3,22.1,16.7,29.46
11,"Troy Huff, UND",31,29.8,5.5,9.6,25,12.2,18.2,15.2,29.44
12,"Billy Baron, CAN",32,38.9,19.7,10.5,23.5,1.7,13.8,7.7,29.38
13,"Justin Sears, YALE",27,30.9,7.1,11.5,22.9,11,16.1,13.6,28.98
14,"Jordan Parks, NCCU",31,18.8,6.3,11.1,17.7,13.5,19.5,16.5,28.9
15,"Brad Waldow, SMC",32,29.8,9.2,10.3,21.3,12.8,17.3,15,28.83
16,"Joel Embiid, KU",28,23.1,11.2,19.5,18.7,10.6,26.5,18.5,28.76
17,"Jameel Warney, STON",32,29.6,13.5,8.7,18,10.4,19.2,14.8,28.5
18,"K.J. McDaniels, CLEM",32,33.3,7.7,12.5,24,8.3,15.7,12,28.41
19,"Aaric Murray, TXSO",32,31.8,5.3,11.8,25.4,7.5,18.9,13.2,28.36
20,"Karvel Anderson, RMU",34,30.4,8.4,7,21.4,3,10.2,6.6,28.35
21,"Jordan Adams, UCLA",33,30,12.6,8.7,20.9,6.9,13.1,10,28.33
22,"T.J. Bray, PRIN",23,35.7,25.3,8.6,19.1,1.8,15.2,8.5,28.28
23,"Russ Smith, LOU",34,28.7,20.6,11.6,26.3,2.9,9.4,6.2,28.13
,"Keaton Jackson, SIUE",18.2,5.2,15.9,15.9,13.6,22.2,17.9,28.13,
25,"Seth Tuttle, UNI",30,30,13.5,12.4,20.9,9.9,23.9,16.9,27.97
26,"TaShawn Thomas, HOU",33,31.6,11.3,13.3,19.5,10.3,19.2,14.8,27.75
27,"Jerrelle Benimon, TOWS",32,36.2,15.4,14.9,22.3,6.8,25.8,16.3,27.63
28,"Sam Dower, GONZ",31,26.7,7,10.3,19.3,7.7,22.2,14.9,27.5
29,"Sherman Blanford, EIU",28,28,9.6,11.3,21.1,13,23.2,18.1,27.38
30,"Ian Chiles, MORG",31,28.5,5.7,9.8,20.5,9.3,15.2,12.2,27.33
31,"Marcus Smart, OKST",30,32.5,20.4,11,23.5,4.5,15.7,10.1,27.31
32,"Taylor Braun, NDSU",28,34.5,18.6,9.6,20.7,2.5,17.9,10.2,27.24
33,"Dantrell Thomas, NICH",28,29.2,15.5,11.2,21.1,7.6,17.2,12.4,27.23
34,"Brandon West, JKST",27,27.7,4.8,15.4,18.1,15,25,20,27.22
35,"Jonathan Holmes, TEX",30,23.9,6.6,12.5,20,10.8,18.2,14.5,27.18
36,"Shawn Jones, MTU",31,28.9,4,11.2,18.4,12.3,21.7,17,27.15
37,"Jacob Parker, SFA",31,28.6,13.4,8.5,18.2,10.6,19.7,15.2,27.13
38,"Montrezl Harrell, LOU",34,28.8,8.8,9.6,18.1,12,18.1,15,27.12
39,"Jarnell Stokes, TENN",32,32.3,11.6,12.6,20.1,13.3,20,16.7,27.04
40,"D.J. Covington, VMI",27,30.6,4.4,11.6,19.5,8.6,23.4,16,26.99
41,"Sean Kilpatrick, CIN",33,33.7,11.6,8.8,25.4,3.6,10.9,7.2,26.94
42,"Larry Nance Jr., WYO",24,35.4,10.2,10.2,18,5.7,30.1,17.9,26.9
43,"Ryan Watkins, BSU",32,30.9,8.5,8.8,14.1,19.5,22.2,20.9,26.85
44,"Khem Birch, UNLV",33,31.4,9.7,10.7,14.9,12.8,20.1,16.4,26.8
45,"Shawn Long, ULL",30,30.2,3.2,11.7,21.3,12.3,25.2,18.8,26.69
46,"Tyler Stone, SEMO",29,33.7,10.3,8.5,19.5,8,22.5,15.2,26.66
47,"Brice Johnson, UNC",32,19.9,8.2,10.7,20,11.3,20.3,15.8,26.65
48,"Justin Jackson, CIN",33,27.5,12.8,13.9,19.4,12.7,16.1,14.4,26.62
,"Scott Eatherton, NE",31.1,6.8,15.8,21.5,12,26.1,19.1,26.62,26.62
50,"Davante Gardner, MARQ",32,26.6,9.2,7.7,20.8,9.2,15,12.1,26.55
51,"Derrick Barden, UNCO",29,31.2,8.4,7.7,16.5,11.9,19.1,15.5,26.38
52,"Delon Wright, UTAH",30,37.1,25.7,12.8,17.4,4.1,16.4,10.3,26.21
53,"D.J. Cunningham, UNCA",24,26.9,9,16.5,16.9,13.9,27.9,20.9,26.2
54,"Z. Mason, CHAT",27,30.7,3.9,13.2,21.7,9.8,24.1,17,26.09
55,"Markus Kennedy, SMU",32,24.7,11.4,13,21.3,8.1,22.9,15.5,26.04
56,"Kyle Anderson, UCLA",33,33.2,29.3,13.6,20.6,4.3,25.8,15,25.9
57,"Jalan West, NWST",29,33.7,25.8,11,20.6,1.6,12,6.8,25.88
58,"Xavier Thames, SDSU",31,31.5,16,7.2,22.9,2.2,8.5,5.4,25.87
59,"Kendrick Perry, YSU",29,38.1,18.1,8.4,20.6,3.2,11.3,7.2,25.86
60,"Devon Collier, ORST",30,26.1,10.8,11.7,19.4,9,16.2,12.6,25.72
61,"Joseph Young, ORE",32,31.2,10.9,6.5,20.2,2.9,7.9,5.4,25.71
62,"Shayne Whittington, WMU",29,32.4,6.7,11.1,19.8,9.1,24.6,16.9,25.7
63,"Stephen Madison, IDHO",33,34.7,10.9,12.3,23.2,6.7,19.3,13,25.65
64,"Thomas van der Mars, PORT",31,26.9,7,11,18.2,10.4,20.1,15.2,25.63
65,"Tim Williams, SAM",29,33.4,4.5,10.8,17.3,7.4,20.6,14,25.51
66,"Desmar Jackson, SIU",32,33,9.4,13.4,25.4,5.6,14.2,9.9,25.38
,"Casey Prather, FLA",28.2,11.5,14.9,20.6,7.9,12.1,10,25.38,25.38
68,"Shawn Glover, ORU",31,35.5,6.8,10.1,24.2,4.1,14.6,9.3,25.37
69,"Trevor Releford, ALA",30,35.1,15.8,13.2,21.3,2.2,10.5,6.4,25.26
70,"Deonte Burton, NEV",32,38.6,18.7,8.6,22,1.2,12,6.6,25.23
,"Jarmar Gulley, MOSU",26.9,9.5,10.6,23.5,9.8,19,14.4,25.23,25.23
72,"Chris Horton, PEAY",28,30.9,5.2,9,14.7,13.9,23.4,18.6,25.21
73,"Davion Berry, WEB",28,33.7,18.3,13.5,22.8,1.6,13.8,7.7,25.2
74,"Shabazz Napier, CONN",34,34.9,22,12.2,22.2,3.3,15.9,9.6,25.17
75,"Tymell Murphy, FIU",28,34.8,11.8,15.3,18.3,6.9,16.6,11.8,25.13
76,"Egidijus Mockevicius, EVAN",31,25.5,3.1,12.1,13.8,10.5,30.9,20.7,25.12
77,"Lamar Patterson, PITT",34,32.6,19.5,12.1,24.9,3.4,13.2,8.3,25.08
,"Cleanthony Early, WICH",27.4,4.8,13.1,21.8,4.8,17.7,11.3,25.08,25.08
79,"Alex Rosenberg, CLMB",30,28.7,6.6,10.4,21.1,4.8,11.3,8.1,25.07
80,"Michael Craig, USM",28,24.9,15.4,16.7,19.6,11,24,17.5,24.99
81,"Patrick Miller, TNST",29,37.8,13.9,11.8,26.9,4.7,9.6,7.2,24.96
82,"Augustine Rubit, USA",28,32.1,7.3,10.5,21.5,14.3,18,16.1,24.87
83,"Perry Ellis, KU",33,27.7,8.4,8.1,17.2,7.5,17.1,12.3,24.86
84,"Glenn Bryant, EMU",31,21.5,2.2,7.5,15.7,11.4,14.5,13,24.85
85,"Adreian Payne, MSU",27,27.7,8.1,12.6,22.4,6.7,22.3,14.5,24.81
