Rk,Player,Tm,Cap Hit,2013-14,2014-15,2015-16,2016-17,2017-18,Signed Using,Guaranteed
1,Kobe Bryant,LAL,30453805,30453805,23500000,25000000,,,Bird Rights,78953805
2,Dirk Nowitzki,DAL,22721381,22721381,,,,,Bird Rights,22721381
3,Amar'e Stoudemire,NYK,21679893,21679893,23410988,,,,Bird Rights,45090881
4,Joe Johnson,BRK,21466718,21466718,23180790,24894863,,,Bird Rights,69542371
5,Carmelo Anthony,NYK,21388953,21388953,23333405,,,,Bird Rights,44722359
6,Dwight Howard,HOU,20513178,20513178,21436271,22359364,23282457,,Cap Space,64308813
7,Pau Gasol,LAL,19285850,19285850,,,,,Bird Rights,19285850
8,LeBron James,MIA,19067500,19067500,20590000,22112500,,,Bird Rights,39657500
9,Chris Bosh,MIA,19067500,19067500,20590000,22112500,,,Bird Rights,39657500
10,Dwyane Wade,MIA,18673000,18673000,20164000,21655000,,,Bird Rights,38837000
11,Chris Paul,LAC,18668431,18668431,20068563,21468696,22868828,24268960,Bird Rights,83074518
12,Deron Williams,BRK,18466130,18466130,19754465,21042800,22331135,,Bird Rights,81594530
13,Rudy Gay,SAC,17888931,17888931,19317325,,,,Bird Rights,17888931
14,Kevin Durant,OKC,17832627,17832627,18995624,20158622,,,Bird Rights,56986873
15,Zach Randolph,MEM,17800000,17800000,16500000,,,,Bird Rights,17800000
16,Derrick Rose,CHI,17632688,17632688,18862875,20093063,21323250,,Bird Rights,77911876
17,Blake Griffin,LAC,16441500,16441500,17674612,18907725,20140838,21373950,Bird Rights,94538625
18,Paul Pierce,BRK,15333334,15333334,,,,,Bird Rights,15333334
19,Carlos Boozer,CHI,15300000,15300000,16800000,,,,Bird Rights,32100000
20,LaMarcus Aldridge,POR,14878000,14878000,16006000,,,,Bird Rights,30884000
21,Marc Gasol,MEM,14860523,14860523,15829688,,,,Bird Rights,30690211
22,Russell Westbrook,OKC,14693906,14693906,15719062,16744218,17769374,,Bird Rights,64926560
23,Kevin Love,MIN,14693906,14693906,15719062,16744218,,,Cap Space,30412968
24,Brook Lopez,BRK,14693906,14693906,15719063,16744219,,,Bird Rights,30412969
25,Emeka Okafor,PHO,14487500,14487500,,,,,Bird Rights,14487500
26,Eric Gordon,NOP,14283844,14283844,14898938,15514031,,,Bird Rights,29182782
27,Roy Hibbert,IND,14283844,14283844,14898938,15514031,,,Bird Rights,29182782
28,Luol Deng,CLE,14275000,14275000,,,,,Bird Rights,14275000
29,Tyson Chandler,NYK,14100538,14100538,14598888,,,,Bird Rights,28699426
30,Danny Granger,PHI,14021788,14021788,,,,,Bird Rights,14021788
31,Andrew Bogut,GSW,14000000,14000000,,,,,Bird Rights,14000000
32,David Lee,GSW,13878000,13878000,15012000,15493680,,,Bird Rights,44383680
33,James Harden,HOU,13701250,13701250,14728844,15756438,16784031,17811625,Bird Rights,69876376
34,Josh Smith,DET,13500000,13500000,13500000,13500000,13500000,,Cap Space,54000000
35,Al Jefferson,CHA,13500000,13500000,13666667,13833333,,,Cap Space,27166667
36,Ben Gordon,CHA,13200000,13200000,,,,,Cap Space,13200000
37,Nene Hilario,WAS,13000000,13000000,13000000,13000000,,,Bird Rights,39000000
38,Andre Iguodala,GSW,12868632,12868632,12289544,11710456,11131368,,Bird Rights,48000000
39,Tony Parker,SAS,12500000,12500000,12500000,,,,Bird Rights,16000000
40,Kevin Garnett,BRK,12443735,12443735,12000000,,,,Bird Rights,24443735
41,Serge Ibaka,OKC,12350000,12350000,12350000,12350000,12350000,,Bird Rights,49400000
42,Nikola Pekovic,MIN,12100000,12100000,12100000,12100000,12100000,11600000,Bird Rights,60000000
43,David West,IND,12000000,12000000,12000000,12000000,,,Early Bird Rights,24000000
44,Kris Humphries,BOS,12000000,12000000,,,,,Bird Rights,12000000
45,Al Horford,ATL,12000000,12000000,12000000,12000000,,,Bird Rights,36000000
46,Rajon Rondo,BOS,11954545,11954545,12909091,,,,Bird Rights,24863636
47,Andrea Bargnani,NYK,11862500,11862500,11500000,,,,Bird Rights,23362500
48,Nicolas Batum,POR,11295250,11295250,11765500,12235750,,,Bird Rights,35296500
49,Joakim Noah,CHI,11100000,11100000,12200000,13400000,,,Bird Rights,36700000
50,Richard Jefferson,UTA,11046000,11046000,,,,,Bird Rights,11046000
51,DeAndre Jordan,LAC,10986550,10986550,11440124,,,,Bird Rights,22426674
52,Ty Lawson,DEN,10786517,10786517,11595506,12404495,13213482,,Bird Rights,48000000
53,JaVale McGee,DEN,10750000,10750000,11250000,12000000,,,Bird Rights,34000000
54,Tim Duncan,SAS,10361446,10361446,10000000,,,,Bird Rights,10361446
55,Tyreke Evans,NOP,10300000,10300000,10763500,11227000,11690500,,Bird Rights,43981000
56,Danilo Gallinari,DEN,10146925,10146925,10854850,11559225,,,Bird Rights,32561000
57,Gerald Wallace,BOS,10105855,10105855,10105855,10105855,,,Bird Rights,30317565
58,Tiago Splitter,SAS,10000000,10000000,9250000,8500000,8250000,,Bird Rights,36000000
59,Stephen Curry,GSW,9887642,9887642,10629213,11370786,12112359,,Bird Rights,44000000
60,DeMar DeRozan,TOR,9500000,9500000,9500000,9500000,9500000,,Bird Rights,38000000
61,Paul Millsap,ATL,9500000,9500000,9500000,,,,Cap Space,19000000
62,Shawn Marion,DAL,9316796,9316796,,,,,Bird Rights,9316796
63,Steve Nash,LAL,9300500,9300500,9701000,,,,Bird Rights,19001500
64,Jrue Holiday,NOP,9213484,9213484,9904495,10595507,11286518,,Bird Rights,41000004
65,Anderson Varejao,CLE,9036364,9036364,9704595,,,,Bird Rights,13036364
66,Andris Biedrins,UTA,9000000,9000000,,,,,Bird Rights,9000000
67,Kendrick Perkins,OKC,8977437,8977437,9654342,,,,Bird Rights,18631779
68,Jeff Green,BOS,8965000,8965000,9445000,9445000,,,Bird Rights,17900000
69,Thaddeus Young,PHI,8850000,8850000,9410870,9971739,,,Bird Rights,28232609
70,Jameer Nelson,ORL,8600000,8600000,8000000,,,,Bird Rights,12600000
71,Charlie Villanueva,DET,8580000,8580000,,,,,Cap Space,8580000
72,Rodney Stuckey,DET,8500000,8500000,,,,,Bird Rights,8500000
73,Omer Asik,HOU,8374646,8374646,8374646,,,,Cap Space,16749292
74,Jeremy Lin,HOU,8374646,8374646,8374646,,,,Cap Space,16749292
75,Nenad Krstic,BOS,8314674,,,,,,,
76,Ryan Anderson,NOP,8308500,8308500,8491500,8500000,,,Bird Rights,25300000
77,Mike Conley,MEM,8200001,8200001,8894216,9588426,,,Cap Space,26682643
78,Marcus Thornton,BRK,8050000,8050000,8575000,,,,Cap Space,16625000
79,Caron Butler,PHO,8000000,8000000,,,,,Cap Space,8000000
80,O.J. Mayo,MIL,8000000,8000000,8000000,8000000,,,Cap Space,24000000
81,George Hill,IND,8000000,8000000,8000000,8000000,8000000,,Bird Rights,32000000
82,Monta Ellis,DAL,8000000,8000000,8360000,8720000,,,Cap Space,16360000
83,Jeff Teague,ATL,8000000,8000000,8000000,8000000,8000000,,Bird Rights,32000000
84,Ersan Ilyasova,MIL,7900000,7900000,7900000,7900000,8400000,,Bird Rights,24100000
85,Arron Afflalo,ORL,7750000,7750000,7750000,7937500,,,Bird Rights,15937500
86,Trevor Ariza,WAS,7727280,7727280,,,,,DPE,7727280
87,Marcin Gortat,WAS,7727280,7727280,,,,,Early Bird Rights,7727280
88,Brandon Jennings,DET,7655503,7655503,8000000,8344497,,,Bird Rights,24000000
89,John Salmons,TOR,7583000,7583000,7000000,,,,Bird Rights,8583000
90,Taj Gibson,CHI,7550000,7550000,8000000,8500000,8950000,,Bird Rights,33000000
91,Marvin Williams,UTA,7500000,7500000,,,,,Bird Rights,7500000
92,Manu Ginobili,SAS,7500000,7500000,7000000,,,,Bird Rights,14500000
93,Goran Dragic,PHO,7500000,7500000,7500000,7500000,,,Cap Space,15000000
94,John Wall,WAS,7459925,7459925,13701250,14728844,15756438,16784031,1st Round Pick,86242113
95,Tayshaun Prince,MEM,7235955,7235955,7707865,,,,Bird Rights,14943820
96,Steven Hunter,MEM,7022400,,,,,,,
97,Robert Horry,SAS,6897000,,,,,,,
98,Wesley Matthews,POR,6875480,6875480,7245640,,,,MLE,14121120
99,Jose Calderon,DAL,6791570,6791570,7097191,7402812,7708427,,Cap Space,29000000
100,Kyle Korver,ATL,6760563,6760563,6253521,5746479,5239437,,Bird Rights,24000000
101,Evan Turner,IND,6679867,6679867,,,,,1st Round Pick,6679867
102,Amir Johnson,TOR,6500000,6500000,7000000,,,,Bird Rights,11500000
103,Carl Landry,SAC,6500000,6500000,6500000,6500000,6500000,,Cap Space,26000000
104,Kevin Martin,MIN,6500000,6500000,6792500,7085000,7377500,,Bird Rights,20377500
105,Spencer Hawes,CLE,6500000,6500000,,,,,Bird Rights,6500000
106,Brandon Bass,BOS,6450000,6450000,6900000,,,,Bird Rights,13350000
107,Channing Frye,PHO,6400000,6400000,6800000,,,,MLE,6400000
108,Glen Davis,ORL,6400000,6400000,6600000,,,,,13000000
109,Wilson Chandler,DEN,6344164,6344164,6757913,7171663,,,Bird Rights,15102077
110,J.J. Redick,LAC,6300000,6300000,6583500,6867000,7150500,,Bird Rights,26901000
111,Jarrett Jack,CLE,6300000,6300000,6300000,6300000,6300000,,Cap Space,19400000
112,Landry Fields,TOR,6250000,6250000,6250000,,,,Cap Space,12500000
113,Kyle Lowry,TOR,6210000,6210000,,,,,Bird Rights,6210000
114,Jason Richardson,PHI,6204250,6204250,6601125,,,,Bird Rights,6204250
115,Derrick Favors,UTA,6008196,6008196,12833333,11933333,10983333,11933333,1st Round Pick,53691528
116,Hedo Turkoglu,ORL,6000000,6000000,,,,,,6000000
117,Andrew Bynum,CHI,6000000,6000000,,,,,,6000000
118,Gerald Henderson,CHA,6000000,6000000,6000000,6000000,,,Bird Rights,12000000
119,Robin Lopez,POR,5904261,5904261,6124728,,,,Bird Rights,12028989
120,Chuck Hayes,TOR,5722500,5722500,5958750,,,,Cap Room,11681250
